class,image,iou,dice,precision,recall
RO,d_r_47_,0.805390,0.892206,0.993432,0.809701
RO,d_r_598_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1965_,1.000000,1.000000,1.000000,1.000000
RO,f_r_329_,1.000000,1.000000,1.000000,1.000000
RO,n_l_100_,1.000000,1.000000,1.000000,1.000000
RO,n_l_12_,1.000000,1.000000,1.000000,1.000000
RO,n_l_52_,0.942856,0.970588,0.998419,0.944266
RO,w_r_147_,1.000000,1.000000,1.000000,1.000000
FV,d_r_47_,1.000000,1.000000,1.000000,1.000000
FV,d_r_598_,0.746713,0.854992,0.983705,0.756065
FV,f_r_1965_,0.853879,0.921181,0.924234,0.918148
FV,f_r_329_,0.807034,0.893214,0.950802,0.842203
FV,n_l_100_,0.930870,0.964197,0.967144,0.961269
FV,n_l_12_,0.000000,0.000000,0.000000,1.000000
FV,n_l_52_,1.000000,1.000000,1.000000,1.000000
FV,w_r_147_,1.000000,1.000000,1.000000,1.000000
HD,d_r_47_,0.880359,0.936373,0.983515,0.893544
HD,d_r_598_,0.934955,0.966384,0.984434,0.948984
HD,f_r_1965_,1.000000,1.000000,1.000000,1.000000
HD,f_r_329_,0.859725,0.924572,0.944296,0.905655
HD,n_l_100_,1.000000,1.000000,1.000000,1.000000
HD,n_l_12_,0.904886,0.950068,0.941929,0.958349
HD,n_l_52_,0.951672,0.975238,0.993730,0.957421
HD,w_r_147_,0.844798,0.915871,0.956639,0.878436
RI,d_r_47_,0.957877,0.978485,0.996790,0.960841
RI,d_r_598_,0.958213,0.978661,0.987383,0.970092
RI,f_r_1965_,0.718239,0.836018,0.985194,0.726076
RI,f_r_329_,0.839884,0.912975,0.995657,0.842972
RI,n_l_100_,0.978868,0.989321,0.996676,0.982074
RI,n_l_12_,0.327096,0.492950,0.998751,0.327230
RI,n_l_52_,1.000000,1.000000,1.000000,1.000000
RI,w_r_147_,0.909884,0.952816,0.938919,0.967131
WR,d_r_47_,0.000000,0.000000,0.000000,1.000000
WR,d_r_598_,1.000000,1.000000,1.000000,1.000000
WR,f_r_1965_,1.000000,1.000000,1.000000,1.000000
WR,f_r_329_,1.000000,1.000000,1.000000,1.000000
WR,n_l_100_,1.000000,1.000000,1.000000,1.000000
WR,n_l_12_,0.428956,0.600377,0.441108,0.939654
WR,n_l_52_,1.000000,1.000000,1.000000,1.000000
WR,w_r_147_,0.920016,0.958342,0.997804,0.921882
