class,image,iou,dice,precision,recall
FV,7117_Chaetodon_vagabundus_3_f000020,0.108153,0.195195,1.000000,0.108153
FV,7117_Chaetodon_vagabundus_3_f000030,0.000000,0.000000,1.000000,0.000000
FV,7117_Chaetodon_vagabundus_3_f000040,0.194126,0.325135,0.988604,0.194561
FV,7117_Chaetodon_vagabundus_3_f000060,0.000000,0.000000,1.000000,0.000000
FV,7117_Chaetodon_vagabundus_3_f000070,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_a_testclip_far_away_short_f000080,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_a_testclip_far_away_short_f000090,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_a_testclip_far_away_short_f000100,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_a_testclip_far_away_short_f000180,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000000,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000030,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000040,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000050,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000060,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000070,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000080,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000090,0.000000,0.000000,1.000000,0.000000
FV,7117_Lutjanus_argentimaculatus_adult_2_f000100,0.000000,0.000000,1.000000,0.000000
FV,7398_F1_f000160,0.000000,0.000000,0.000000,0.000000
FV,7398_F2_f000000,0.011163,0.022080,0.089429,0.012595
FV,7398_F2_f000010,0.000000,0.000000,0.000000,0.000000
FV,7398_F2_f000020,0.005369,0.010680,0.049516,0.005986
FV,7398_F2_f000030,0.000000,0.000000,0.000000,0.000000
FV,7398_F2_f000050,0.000000,0.000000,0.000000,0.000000
FV,7398_F6_f000010,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000020,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000030,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000040,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000050,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000060,0.001203,0.002403,1.000000,0.001203
FV,7398_F6_f000070,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000080,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000090,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000100,0.002233,0.004456,1.000000,0.002233
FV,7398_F6_f000110,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000120,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000130,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000140,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000150,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000160,0.000000,0.000000,0.000000,0.000000
FV,7398_F6_f000170,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000180,0.000000,0.000000,0.000000,0.000000
FV,7398_F6_f000190,0.000000,0.000000,1.000000,0.000000
FV,7398_F6_f000200,0.000000,0.000000,1.000000,0.000000
FV,7482_F2_f000040,0.232210,0.376900,0.949319,0.235125
FV,7482_F2_f000050,0.696001,0.820755,0.985046,0.703433
FV,7482_F2_f000060,0.776141,0.873963,0.962572,0.800292
FV,7482_F2_f000080,0.220651,0.361530,0.904762,0.225898
FV,7482_F2_f000090,0.141516,0.247944,0.934922,0.142924
FV,7482_F2_f000100,0.007307,0.014507,1.000000,0.007307
FV,7482_F2_f000110,0.000000,0.000000,1.000000,0.000000
FV,7482_F2_f000120,0.012438,0.024571,1.000000,0.012438
FV,7482_F2_f000130,0.182768,0.309051,0.991674,0.183049
FV,7482_F2_f000140,0.091953,0.168419,1.000000,0.091953
FV,7482_F2_f000150,0.011198,0.022147,1.000000,0.011198
